"record_id" "month" "day" "year" "plot_id" "species_id" "sex" "hindfoot_length" "weight" "genus" "species" "taxa" "plot_type" "date"
"70" 11628 6 5 1986 2 "NL" "M" 34 227 "Neotoma" "albigula" "Rodent" "Control" 1986-06-05
"71" 11709 7 4 1986 2 "NL" "F" 31 184 "Neotoma" "albigula" "Rodent" "Control" 1986-07-04
"72" 11877 9 7 1986 2 "NL" "M" 34 202 "Neotoma" "albigula" "Rodent" "Control" 1986-09-07
"73" 11879 9 7 1986 2 "NL" "F" 32 135 "Neotoma" "albigula" "Rodent" "Control" 1986-09-07
"74" 11887 9 7 1986 2 "NL" "M" 33 177 "Neotoma" "albigula" "Rodent" "Control" 1986-09-07
"75" 11953 10 5 1986 2 "NL" "M" 33 221 "Neotoma" "albigula" "Rodent" "Control" 1986-10-05
"76" 12299 2 1 1987 2 "NL" "M" 32 253 "Neotoma" "albigula" "Rodent" "Control" 1987-02-01
"77" 12458 3 2 1987 2 "NL" "M" 33 259 "Neotoma" "albigula" "Rodent" "Control" 1987-03-02
"78" 12602 4 6 1987 2 "NL" "M" 34 260 "Neotoma" "albigula" "Rodent" "Control" 1987-04-06
"79" 12678 4 26 1987 2 "NL" "M" 30 79 "Neotoma" "albigula" "Rodent" "Control" 1987-04-26
"80" 12708 4 26 1987 2 "NL" "F" 28 72 "Neotoma" "albigula" "Rodent" "Control" 1987-04-26
"81" 12729 4 26 1987 2 "NL" "M" 32 270 "Neotoma" "albigula" "Rodent" "Control" 1987-04-26
"82" 12756 5 28 1987 2 "NL" "F" 30 99 "Neotoma" "albigula" "Rodent" "Control" 1987-05-28
"83" 12871 5 28 1987 2 "NL" "M" 32 278 "Neotoma" "albigula" "Rodent" "Control" 1987-05-28
"84" 12997 7 1 1987 2 "NL" "F" 30 136 "Neotoma" "albigula" "Rodent" "Control" 1987-07-01
"85" 13025 7 1 1987 2 "NL" "M" 33 260 "Neotoma" "albigula" "Rodent" "Control" 1987-07-01
"86" 13114 7 26 1987 2 "NL" "M" NA 269 "Neotoma" "albigula" "Rodent" "Control" 1987-07-26
"87" 13275 8 26 1987 2 "NL" "M" NA NA "Neotoma" "albigula" "Rodent" "Control" 1987-08-26
"88" 13326 8 26 1987 2 "NL" "F" 32 146 "Neotoma" "albigula" "Rodent" "Control" 1987-08-26
"89" 13434 9 27 1987 2 "NL" "M" 33 197 "Neotoma" "albigula" "Rodent" "Control" 1987-09-27
"90" 13465 9 27 1987 2 "NL" "F" 32 167 "Neotoma" "albigula" "Rodent" "Control" 1987-09-27
"91" 13476 9 27 1987 2 "NL" "F" 33 146 "Neotoma" "albigula" "Rodent" "Control" 1987-09-27
"92" 13615 10 25 1987 2 "NL" "M" 34 203 "Neotoma" "albigula" "Rodent" "Control" 1987-10-25
"93" 13630 10 25 1987 2 "NL" "F" 30 176 "Neotoma" "albigula" "Rodent" "Control" 1987-10-25
"94" 13748 11 22 1987 2 "NL" "M" 34 214 "Neotoma" "albigula" "Rodent" "Control" 1987-11-22
"95" 13977 1 24 1988 2 "NL" "F" 34 161 "Neotoma" "albigula" "Rodent" "Control" 1988-01-24
"96" 14646 6 12 1988 2 "NL" "F" 34 148 "Neotoma" "albigula" "Rodent" "Control" 1988-06-12
"97" 14740 7 15 1988 2 "NL" "F" NA NA "Neotoma" "albigula" "Rodent" "Control" 1988-07-15
"98" 14796 8 10 1988 2 "NL" "M" 34 188 "Neotoma" "albigula" "Rodent" "Control" 1988-08-10
"99" 14804 8 10 1988 2 "NL" "M" 31 132 "Neotoma" "albigula" "Rodent" "Control" 1988-08-10
"100" 14896 9 12 1988 2 "NL" "M" 34 161 "Neotoma" "albigula" "Rodent" "Control" 1988-09-12
"101" 14984 10 9 1988 2 "NL" "M" 35 170 "Neotoma" "albigula" "Rodent" "Control" 1988-10-09
"102" 15302 12 14 1988 2 "NL" "M" 35 248 "Neotoma" "albigula" "Rodent" "Control" 1988-12-14
"103" 15780 3 13 1989 2 "NL" "M" 33 242 "Neotoma" "albigula" "Rodent" "Control" 1989-03-13
"104" 16407 7 30 1989 2 "NL" "F" 33 97 "Neotoma" "albigula" "Rodent" "Control" 1989-07-30
"105" 17230 2 25 1990 2 "NL" "M" 33 218 "Neotoma" "albigula" "Rodent" "Control" 1990-02-25
"106" 17877 9 25 1990 2 "NL" "F" NA 176 "Neotoma" "albigula" "Rodent" "Control" 1990-09-25
"107" 17941 10 16 1990 2 "NL" "F" 33 195 "Neotoma" "albigula" "Rodent" "Control" 1990-10-16
"108" 18110 12 15 1990 2 "NL" "F" 33 193 "Neotoma" "albigula" "Rodent" "Control" 1990-12-15
"109" 18364 2 16 1991 2 "NL" "F" 33 185 "Neotoma" "albigula" "Rodent" "Control" 1991-02-16
"110" 18486 3 13 1991 2 "NL" "F" 33 174 "Neotoma" "albigula" "Rodent" "Control" 1991-03-13
"111" 18639 4 21 1991 2 "NL" "F" 33 126 "Neotoma" "albigula" "Rodent" "Control" 1991-04-21
"112" 18678 5 13 1991 2 "NL" "F" 31 81 "Neotoma" "albigula" "Rodent" "Control" 1991-05-13
"113" 18680 5 13 1991 2 "NL" "F" 33 185 "Neotoma" "albigula" "Rodent" "Control" 1991-05-13
"114" 18846 7 12 1991 2 "NL" "M" 33 154 "Neotoma" "albigula" "Rodent" "Control" 1991-07-12
"115" 18948 8 7 1991 2 "NL" "M" 32 178 "Neotoma" "albigula" "Rodent" "Control" 1991-08-07
"116" 19032 9 9 1991 2 "NL" "M" 31 180 "Neotoma" "albigula" "Rodent" "Control" 1991-09-09
"117" 19245 11 13 1991 2 "NL" "F" 36 165 "Neotoma" "albigula" "Rodent" "Control" 1991-11-13
"118" 20040 5 30 1992 2 "NL" "F" 36 220 "Neotoma" "albigula" "Rodent" "Control" 1992-05-30
"119" 20089 7 3 1992 2 "NL" "F" 21 130 "Neotoma" "albigula" "Rodent" "Control" 1992-07-03
"120" 20364 9 26 1992 2 "NL" "F" 32 114 "Neotoma" "albigula" "Rodent" "Control" 1992-09-26
"121" 20466 10 18 1992 2 "NL" "F" 33 135 "Neotoma" "albigula" "Rodent" "Control" 1992-10-18
"122" 20992 7 14 1993 2 "NL" "M" 32 78 "Neotoma" "albigula" "Rodent" "Control" 1993-07-14
"123" 21113 9 16 1993 2 "NL" "M" NA NA "Neotoma" "albigula" "Rodent" "Control" 1993-09-16
"124" 21120 9 16 1993 2 "NL" "M" 37 138 "Neotoma" "albigula" "Rodent" "Control" 1993-09-16
"125" 21161 10 15 1993 2 "NL" "M" 32 148 "Neotoma" "albigula" "Rodent" "Control" 1993-10-15
"126" 21232 11 13 1993 2 "NL" "M" 35 154 "Neotoma" "albigula" "Rodent" "Control" 1993-11-13
"127" 21235 11 13 1993 2 "NL" "M" 34 160 "Neotoma" "albigula" "Rodent" "Control" 1993-11-13
"128" 21286 12 14 1993 2 "NL" "M" 32 153 "Neotoma" "albigula" "Rodent" "Control" 1993-12-14
"129" 21507 4 10 1994 2 "NL" "M" NA 180 "Neotoma" "albigula" "Rodent" "Control" 1994-04-10
"130" 21558 5 18 1994 2 "NL" "M" 35 NA "Neotoma" "albigula" "Rodent" "Control" 1994-05-18
"131" 22314 6 7 1995 2 "NL" "M" 34 NA "Neotoma" "albigula" "Rodent" "Control" 1995-06-07
"132" 22728 9 23 1995 2 "NL" "F" 32 165 "Neotoma" "albigula" "Rodent" "Control" 1995-09-23
"133" 22899 10 28 1995 2 "NL" "F" 32 171 "Neotoma" "albigula" "Rodent" "Control" 1995-10-28
"134" 23032 12 2 1995 2 "NL" "F" 33 NA "Neotoma" "albigula" "Rodent" "Control" 1995-12-02
"135" 24589 10 12 1996 2 "NL" "M" 33 127 "Neotoma" "albigula" "Rodent" "Control" 1996-10-12
"136" 24690 11 16 1996 2 "NL" "F" 33 130 "Neotoma" "albigula" "Rodent" "Control" 1996-11-16
"137" 24703 11 16 1996 2 "NL" "M" 33 148 "Neotoma" "albigula" "Rodent" "Control" 1996-11-16
"138" 25247 3 15 1997 2 "NL" "M" 34 147 "Neotoma" "albigula" "Rodent" "Control" 1997-03-15
"139" 25701 5 10 1997 2 "NL" "F" 32 144 "Neotoma" "albigula" "Rodent" "Control" 1997-05-10
"140" 26028 6 9 1997 2 "NL" "M" 34 193 "Neotoma" "albigula" "Rodent" "Control" 1997-06-09
"141" 26644 7 29 1997 2 "NL" "F" 30 178 "Neotoma" "albigula" "Rodent" "Control" 1997-07-29
"142" 26827 9 27 1997 2 "NL" "F" 33 138 "Neotoma" "albigula" "Rodent" "Control" 1997-09-27
"143" 26857 9 27 1997 2 "NL" "F" 33 174 "Neotoma" "albigula" "Rodent" "Control" 1997-09-27
"144" 27042 10 25 1997 2 "NL" "F" 34 186 "Neotoma" "albigula" "Rodent" "Control" 1997-10-25
"145" 27326 12 28 1997 2 "NL" "F" 33 181 "Neotoma" "albigula" "Rodent" "Control" 1997-12-28
"146" 27734 3 29 1998 2 "NL" "F" 33 188 "Neotoma" "albigula" "Rodent" "Control" 1998-03-29
"147" 27781 5 2 1998 2 "NL" "" NA 200 "Neotoma" "albigula" "Rodent" "Control" 1998-05-02
"148" 27860 5 28 1998 2 "NL" "F" 33 190 "Neotoma" "albigula" "Rodent" "Control" 1998-05-28
"149" 27897 5 28 1998 2 "NL" "M" 21 110 "Neotoma" "albigula" "Rodent" "Control" 1998-05-28
"150" 27919 5 28 1998 2 "NL" "F" 34 158 "Neotoma" "albigula" "Rodent" "Control" 1998-05-28
"151" 28022 6 27 1998 2 "NL" "F" 31 182 "Neotoma" "albigula" "Rodent" "Control" 1998-06-27
"152" 28077 6 27 1998 2 "NL" "M" 30 132 "Neotoma" "albigula" "Rodent" "Control" 1998-06-27
"153" 28328 8 22 1998 2 "NL" "F" 30 143 "Neotoma" "albigula" "Rodent" "Control" 1998-08-22
"154" 28551 9 20 1998 2 "NL" "M" 31 178 "Neotoma" "albigula" "Rodent" "Control" 1998-09-20
"155" 28556 9 20 1998 2 "NL" "M" 30 149 "Neotoma" "albigula" "Rodent" "Control" 1998-09-20
"156" 28662 10 24 1998 2 "NL" "M" 34 168 "Neotoma" "albigula" "Rodent" "Control" 1998-10-24
"157" 28928 12 22 1998 2 "NL" "F" 31 165 "Neotoma" "albigula" "Rodent" "Control" 1998-12-22
"158" 29039 1 16 1999 2 "NL" "F" 34 162 "Neotoma" "albigula" "Rodent" "Control" 1999-01-16
"159" 29310 3 14 1999 2 "NL" "F" 32 153 "Neotoma" "albigula" "Rodent" "Control" 1999-03-14
"160" 29435 4 17 1999 2 "NL" "M" 34 220 "Neotoma" "albigula" "Rodent" "Control" 1999-04-17
"161" 29572 5 15 1999 2 "NL" "F" 33 154 "Neotoma" "albigula" "Rodent" "Control" 1999-05-15
"162" 29823 9 11 1999 2 "NL" "F" 33 200 "Neotoma" "albigula" "Rodent" "Control" 1999-09-11
"163" 29865 10 9 1999 2 "NL" "F" 32 194 "Neotoma" "albigula" "Rodent" "Control" 1999-10-09
"164" 29950 11 6 1999 2 "NL" "F" 33 195 "Neotoma" "albigula" "Rodent" "Control" 1999-11-06
"165" 30066 12 5 1999 2 "NL" "F" 33 131 "Neotoma" "albigula" "Rodent" "Control" 1999-12-05
"166" 30067 12 5 1999 2 "NL" "" NA 194 "Neotoma" "albigula" "Rodent" "Control" 1999-12-05
"167" 30172 1 8 2000 2 "NL" "F" 30 137 "Neotoma" "albigula" "Rodent" "Control" 2000-01-08
"168" 30174 1 8 2000 2 "NL" "F" 33 181 "Neotoma" "albigula" "Rodent" "Control" 2000-01-08
"169" 30175 1 8 2000 2 "NL" "M" 34 265 "Neotoma" "albigula" "Rodent" "Control" 2000-01-08
"170" 30307 2 5 2000 2 "NL" "F" 33 185 "Neotoma" "albigula" "Rodent" "Control" 2000-02-05
"171" 30308 2 5 2000 2 "NL" "F" 31 144 "Neotoma" "albigula" "Rodent" "Control" 2000-02-05
"172" 30309 2 5 2000 2 "NL" "" NA 183 "Neotoma" "albigula" "Rodent" "Control" 2000-02-05
"173" 30443 3 4 2000 2 "NL" "M" 33 184 "Neotoma" "albigula" "Rodent" "Control" 2000-03-04
"174" 30741 6 3 2000 2 "NL" "F" 33 158 "Neotoma" "albigula" "Rodent" "Control" 2000-06-03
"175" 31516 11 25 2000 2 "NL" "F" 29 200 "Neotoma" "albigula" "Rodent" "Control" 2000-11-25
"176" 31517 11 25 2000 2 "NL" "M" 32 228 "Neotoma" "albigula" "Rodent" "Control" 2000-11-25
"177" 31633 12 22 2000 2 "NL" "F" 31 173 "Neotoma" "albigula" "Rodent" "Control" 2000-12-22
"178" 31717 1 21 2001 2 "NL" "M" 33 121 "Neotoma" "albigula" "Rodent" "Control" 2001-01-21
"179" 31721 1 21 2001 2 "NL" "F" 31 158 "Neotoma" "albigula" "Rodent" "Control" 2001-01-21
"180" 31862 3 24 2001 2 "NL" "F" 32 252 "Neotoma" "albigula" "Rodent" "Control" 2001-03-24
"181" 31946 4 21 2001 2 "NL" "F" 33 145 "Neotoma" "albigula" "Rodent" "Control" 2001-04-21
"182" 32045 5 26 2001 2 "NL" "M" 32 135 "Neotoma" "albigula" "Rodent" "Control" 2001-05-26
"183" 32167 6 25 2001 2 "NL" "F" 30 173 "Neotoma" "albigula" "Rodent" "Control" 2001-06-25
"184" 32391 8 25 2001 2 "NL" "F" 33 193 "Neotoma" "albigula" "Rodent" "Control" 2001-08-25
"185" 32817 10 13 2001 2 "NL" "F" 29 72 "Neotoma" "albigula" "Rodent" "Control" 2001-10-13
"186" 33040 11 17 2001 2 "NL" "F" 31 119 "Neotoma" "albigula" "Rodent" "Control" 2001-11-17
"187" 33041 11 17 2001 2 "NL" "F" 33 213 "Neotoma" "albigula" "Rodent" "Control" 2001-11-17
"188" 33237 12 15 2001 2 "NL" "F" 33 126 "Neotoma" "albigula" "Rodent" "Control" 2001-12-15
"189" 33238 12 15 2001 2 "NL" "F" 32 198 "Neotoma" "albigula" "Rodent" "Control" 2001-12-15
"190" 33339 1 12 2002 2 "NL" "" NA NA "Neotoma" "albigula" "Rodent" "Control" 2002-01-12
"191" 33415 2 9 2002 2 "NL" "M" 33 120 "Neotoma" "albigula" "Rodent" "Control" 2002-02-09
"192" 33583 3 13 2002 2 "NL" "M" 32 136 "Neotoma" "albigula" "Rodent" "Control" 2002-03-13
"193" 33586 3 13 2002 2 "NL" "F" 32 196 "Neotoma" "albigula" "Rodent" "Control" 2002-03-13
"194" 33837 4 17 2002 2 "NL" "F" NA 190 "Neotoma" "albigula" "Rodent" "Control" 2002-04-17
"195" 33847 4 17 2002 2 "NL" "F" 30 149 "Neotoma" "albigula" "Rodent" "Control" 2002-04-17
"196" 33966 5 15 2002 2 "NL" "F" 31 188 "Neotoma" "albigula" "Rodent" "Control" 2002-05-15
"197" 34198 6 15 2002 2 "NL" "F" 31 139 "Neotoma" "albigula" "Rodent" "Control" 2002-06-15
"198" 34783 10 5 2002 2 "NL" "M" 36 226 "Neotoma" "albigula" "Rodent" "Control" 2002-10-05
"199" 34991 11 9 2002 2 "NL" "M" 33 238 "Neotoma" "albigula" "Rodent" "Control" 2002-11-09
"200" 35212 12 7 2002 2 "NL" "M" 33 248 "Neotoma" "albigula" "Rodent" "Control" 2002-12-07
"201" 35404 12 29 2002 2 "NL" "F" 30 NA "Neotoma" "albigula" "Rodent" "Control" 2002-12-29
"202" 3 7 16 1977 2 "DM" "F" 37 NA "Dipodomys" "merriami" "Rodent" "Control" 1977-07-16
"203" 226 9 13 1977 2 "DM" "M" 37 51 "Dipodomys" "merriami" "Rodent" "Control" 1977-09-13
"204" 233 9 13 1977 2 "DM" "M" 25 44 "Dipodomys" "merriami" "Rodent" "Control" 1977-09-13
"205" 245 10 16 1977 2 "DM" "M" 37 39 "Dipodomys" "merriami" "Rodent" "Control" 1977-10-16
"206" 251 10 16 1977 2 "DM" "M" 36 49 "Dipodomys" "merriami" "Rodent" "Control" 1977-10-16
"207" 257 10 16 1977 2 "DM" "M" 37 47 "Dipodomys" "merriami" "Rodent" "Control" 1977-10-16
"208" 259 10 16 1977 2 "DM" "M" 36 41 "Dipodomys" "merriami" "Rodent" "Control" 1977-10-16
"209" 268 10 16 1977 2 "DM" "F" 36 55 "Dipodomys" "merriami" "Rodent" "Control" 1977-10-16
"210" 346 11 12 1977 2 "DM" "F" 37 36 "Dipodomys" "merriami" "Rodent" "Control" 1977-11-12
"211" 350 11 12 1977 2 "DM" "M" 37 47 "Dipodomys" "merriami" "Rodent" "Control" 1977-11-12
"212" 354 11 12 1977 2 "DM" "M" 38 44 "Dipodomys" "merriami" "Rodent" "Control" 1977-11-12
"213" 361 11 12 1977 2 "DM" "F" 36 40 "Dipodomys" "merriami" "Rodent" "Control" 1977-11-12
"214" 422 12 10 1977 2 "DM" "F" 37 42 "Dipodomys" "merriami" "Rodent" "Control" 1977-12-10
"215" 424 12 10 1977 2 "DM" "M" 37 52 "Dipodomys" "merriami" "Rodent" "Control" 1977-12-10
"216" 427 12 10 1977 2 "DM" "F" 37 37 "Dipodomys" "merriami" "Rodent" "Control" 1977-12-10
"217" 438 12 10 1977 2 "DM" "M" 36 47 "Dipodomys" "merriami" "Rodent" "Control" 1977-12-10
"218" 449 12 10 1977 2 "DM" "M" 35 43 "Dipodomys" "merriami" "Rodent" "Control" 1977-12-10
"219" 507 1 8 1978 2 "DM" "M" 35 44 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"220" 511 1 8 1978 2 "DM" "M" 36 38 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"221" 518 1 8 1978 2 "DM" "M" 36 38 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"222" 519 1 8 1978 2 "DM" "M" 38 48 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"223" 521 1 8 1978 2 "DM" "M" 36 43 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"224" 522 1 8 1978 2 "DM" "F" 37 35 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"225" 523 1 8 1978 2 "DM" "M" 36 43 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"226" 527 1 8 1978 2 "DM" "F" 37 37 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"227" 533 1 8 1978 2 "DM" "M" NA 45 "Dipodomys" "merriami" "Rodent" "Control" 1978-01-08
"228" 593 2 18 1978 2 "DM" "M" 38 52 "Dipodomys" "merriami" "Rodent" "Control" 1978-02-18
"229" 595 2 18 1978 2 "DM" "M" 37 51 "Dipodomys" "merriami" "Rodent" "Control" 1978-02-18
"230" 600 2 18 1978 2 "DM" "F" 37 40 "Dipodomys" "merriami" "Rodent" "Control" 1978-02-18
"231" 601 2 18 1978 2 "DM" "M" 36 41 "Dipodomys" "merriami" "Rodent" "Control" 1978-02-18
"232" 660 3 11 1978 2 "DM" "M" 37 53 "Dipodomys" "merriami" "Rodent" "Control" 1978-03-11
"233" 664 3 11 1978 2 "DM" "M" 35 43 "Dipodomys" "merriami" "Rodent" "Control" 1978-03-11
"234" 733 4 8 1978 2 "DM" "M" 33 NA "Dipodomys" "merriami" "Rodent" "Control" 1978-04-08
"235" 754 4 8 1978 2 "DM" "M" 37 NA "Dipodomys" "merriami" "Rodent" "Control" 1978-04-08
"236" 757 4 8 1978 2 "DM" "F" NA NA "Dipodomys" "merriami" "Rodent" "Control" 1978-04-08
"237" 764 4 8 1978 2 "DM" "M" 35 NA "Dipodomys" "merriami" "Rodent" "Control" 1978-04-08
"238" 838 5 6 1978 2 "DM" "M" 37 48 "Dipodomys" "merriami" "Rodent" "Control" 1978-05-06
"239" 842 5 6 1978 2 "DM" "F" 38 41 "Dipodomys" "merriami" "Rodent" "Control" 1978-05-06
